region,count,accuracy
Africa,16,52.0
Americas/Oceania,11,41.3
Asia 1,2,67.2
Asia 2,12,64.3
Asia 3,4,69.2
Asia 4,3,70.7
Europe 1,7,76.6
Europe 2,4,73.2
