language_name,language_code,language_family,region,accuracy
Tamasheq (Tifinagh script),taq_Tfng,Afro-Asiatic,Africa,0.1
Tatar,tat_Cyrl,Turkic,Europe 2,58.7
Telugu,tel_Telu,Dravidian,Asia 2,99.8
Tajik,tgk_Cyrl,Indo-European,Asia 1,75.2
Tagalog,tgl_Latn,Austronesian,Asia 3,99.9
Thai,tha_Thai,Tai-Kadai,Asia 3,99.9
Tigrinya,tir_Ethi,Afro-Asiatic,Africa,0.3
Tok Pisin,tpi_Latn,Indo-European,Americas/Oceania,97.8
Tswana,tsn_Latn,Atlantic-Congo,Africa,55.9
Tsonga,tso_Latn,Atlantic-Congo,Africa,23.8
Turkmen,tuk_Latn,Turkic,Asia 1,90.9
Tumbuka,tum_Latn,Atlantic-Congo,Africa,0.0
Turkish,tur_Latn,Turkic,Asia 1,99.0
Twi,twi_Latn,Atlantic-Congo,Africa,94.7
Central Atlas Tamazight,tzm_Tfng,Afro-Asiatic,Africa,56.1
Uyghur,uig_Arab,Turkic,Asia 1,81.5
Ukrainian,ukr_Cyrl,Indo-European,Europe 2,99.1
Umbundu,umb_Latn,Atlantic-Congo,Africa,0.0
Urdu,urd_Arab,Indo-European,Asia 2,98.2
Northern Uzbek,uzn_Latn,Turkic,Asia 1,98.8
Venetian,vec_Latn,Indo-European,Europe 1,57.7
Vietnamese,vie_Latn,Austroasiatic,Asia 3,99.8
Waray,war_Latn,Austronesian,Asia 3,6.3
Wolof,wol_Latn,Atlantic-Congo,Africa,96.4
Xhosa,xho_Latn,Atlantic-Congo,Africa,68.3
Eastern Yiddish,ydd_Hebr,Indo-European,Europe 2,99.9
Yoruba,yor_Latn,Atlantic-Congo,Africa,99.2
Yue Chinese,yue_Hant,Sino-Tibetan,Asia 4,97.9
Chinese (Simplified),zho_Hans,Sino-Tibetan,Asia 4,98.4
Chinese (Traditional),zho_Hant,Sino-Tibetan,Asia 4,97.7
Standard Malay,zsm_Latn,Austronesian,Asia 3,90.7
Zulu,zul_Latn,Atlantic-Congo,Africa,82.8
