language_family,count,accuracy
Indo-European,79,78.6
Atlantic-Congo,34,53.3
Afro-Asiatic,21,80.8
Austronesian,21,59.2
Turkic,11,74.8
Sino-Tibetan,9,67.0
Nilotic,5,18.4
Dravidian,4,99.0
Tai-Kadai,3,65.6
Uralic,3,99.0
Austroasiatic,3,66.5
Mande,2,10.8
Japonic,1,99.4
Koreanic,1,99.8
Mongolic-Khitan,1,100.0
Constructed,1,98.1
Quechuan,1,98.9
Basque,1,99.5
Aymaran,1,3.9
Tupian,1,98.8
Kartvelian,1,99.7
