region,count,accuracy
Africa,56,52.5
Europe 1,38,83.1
Asia 2,27,61.4
Asia 3,25,59.3
Asia 1,24,96.1
Europe 2,19,80.4
Americas/Oceania,9,81.0
Asia 4,6,98.9
