region,count,SIB,Flores xx-eng,Flores eng-xx
Africa,57,47.7,32.7,13.8
Europe 1,38,74.2,60.3,43.2
Asia 2,27,70.0,49.6,20.7
Asia 3,25,64.1,46.1,26.3
Asia 1,24,73.2,53.5,27.4
Europe 2,19,74.7,57.9,39.7
Americas/Oceania,9,58.3,38.2,16.0
Asia 4,6,76.2,52.6,24.0
