Language name,Language code,Accuracy
Rundi,run_Latn,60.3
Russian,rus_Cyrl,76.0
Sango,sag_Latn,35.3
Sanskrit,san_Deva,70.1
Santali,sat_Olck,59.8
Sicilian,scn_Latn,67.6
Shan,shn_Mymr,46.1
Sinhala,sin_Sinh,72.5
Slovak,slk_Latn,77.0
Slovenian,slv_Latn,77.5
Samoan,smo_Latn,68.1
Shona,sna_Latn,63.7
Sindhi,snd_Arab,70.1
Somali,som_Latn,65.7
Southern Sotho,sot_Latn,55.4
Spanish,spa_Latn,77.9
Sardinian,srd_Latn,66.7
Serbian,srp_Cyrl,77.5
Swati,ssw_Latn,55.9
Sundanese,sun_Latn,71.1
Swedish,swe_Latn,78.9
Swahili,swh_Latn,73.0
Silesian,szl_Latn,71.6
Tamil,tam_Taml,74.0
Tamasheq (Latin script),taq_Latn,34.3
Tamasheq (Tifinagh script),taq_Tfng,11.8
Tatar,tat_Cyrl,77.5
Telugu,tel_Telu,74.0
Tajik,tgk_Cyrl,73.0
Tagalog,tgl_Latn,78.4
Thai,tha_Thai,76.5
Tigrinya,tir_Ethi,61.8
Tok Pisin,tpi_Latn,71.1
Tswana,tsn_Latn,52.0
Tsonga,tso_Latn,43.6
Turkmen,tuk_Latn,73.0
Tumbuka,tum_Latn,53.9
Turkish,tur_Latn,75.0
Twi,twi_Latn,50.0
Central Atlas Tamazight,tzm_Tfng,14.2
Uyghur,uig_Arab,64.7
Ukrainian,ukr_Cyrl,74.0
Umbundu,umb_Latn,37.7
Urdu,urd_Arab,74.5
Northern Uzbek,uzn_Latn,72.5
Venetian,vec_Latn,72.1
Vietnamese,vie_Latn,75.0
Waray,war_Latn,70.1
Wolof,wol_Latn,48.0
Xhosa,xho_Latn,62.7
Eastern Yiddish,ydd_Hebr,71.6
Yoruba,yor_Latn,58.8
Yue Chinese,yue_Hant,76.5
Chinese (Simplified),zho_Hans,77.0
Chinese (Traditional),zho_Hant,77.5
Standard Malay,zsm_Latn,77.9
Zulu,zul_Latn,66.2
